entity_id,canonical_name,entity_type,industry
35,L.S. Starrett Company,company,precision tools
36,Brown and Sharpe Manufacturing,company,precision tools
37,Snap-on Tools Company,company,hand tools
38,Illinois Tool Works,company,precision tools
