entity_id,canonical_name,entity_type,industry
1,Remington Rand,manufacturer,office-systems
2,Wilson Jones,manufacturer,office-systems
3,Yawman & Erbe,manufacturer,office-systems
4,Boorum & Pease,manufacturer,blank-books
5,Library Bureau,manufacturer,office-systems
