entity_id,canonical_name,entity_type,industry
1,Radio Corporation of America,manufacturer,radio
2,Westinghouse Electric and Manufacturing Company,manufacturer,radio
3,Atwater Kent Manufacturing Company,manufacturer,radio
4,Zenith Radio Corporation,manufacturer,radio
5,De Forest Radio Company,manufacturer,radio
