variant_id,entity_id,variant_name,source
117,37,SNAP-ON INCORPORATED,trademark_owner
118,38,ILLINOIS TOOL WORKS INC.,trademark_owner
119,38,ILLINOIS TOOL WORKS,trademark_owner
120,38,Illinois Tool Works Inc.,trademark_owner
121,38,"Illinois Tool Works, Inc.",trademark_owner
122,38,ILLINOIS TOOL WORKS,patent_assignee
123,38,ILLINOIS TOOL WORKS [US],patent_assignee
129,9002,STANLEY GENERAL INCANDESCENT ELECTRIC MFG COMPANY [US],patent_assignee
130,9002,GEN ELECTRIC,patent_assignee
131,9002,WESTERN ELECTRIC CO,patent_assignee
132,9002,TRUMBULL ELECTRIC MFG CO,patent_assignee
133,9002,BRYANT ELECTRIC CO,patent_assignee
134,9002,AUTOMATIC ELECTRIC INC,patent_assignee
135,9002,FED ELECTRIC CO,patent_assignee
136,9002,GEN ELECTRIC CO LTD,patent_assignee
137,9002,JEFFERSON ELECTRIC CO,patent_assignee
138,9002,WAPPLER ELECTRIC COMPANY INC,patent_assignee
139,9002,GENERAL ELECTRIC COMPANY,trademark_owner
140,9002,General Electric Company,trademark_owner
141,9002,"GENERAL ELECTRIC LIMITED, THE",trademark_owner
142,9002,"GENERAL ELECTRIC COMPANY, LIMITED, THE",trademark_owner
143,9002,GENERAL ELECTRIC X-RAY CORPORATION,trademark_owner
144,9002,GENERAL & ELECTRIC COMPANY,trademark_owner
145,9002,"GENERAL ELECTRIC FINANCIAL SERVICES, INC.",trademark_owner
146,9002,GENERAL MOTORS CORPORATION,trademark_owner
147,9002,"GENERAL MILLS, INC.",trademark_owner
148,9002,GENERAL FOODS CORPORATION,trademark_owner
151,9,WESTINGHOUSE ELECTRIC & MFG CORP [DE],patent_assignee
152,9,WESTINGHOUSE ELECTRIC & AND MF,patent_assignee
153,9,PALMER ELECTRIC & MFG CO,patent_assignee
154,9,ELECTRIC CONTROLLER & MFG CO,patent_assignee
155,9,EUCLID ELECTRIC & MFG COMPANY,patent_assignee
156,9,KELMAN ELECTRIC & MFG COMPANY,patent_assignee
157,9,EVERHOT ELECTRIC & MFG CO,patent_assignee
158,9,WESTINGHOUSE ELECTRIE & MFG CO,patent_assignee
159,9,WESTINGHOUSE ELECTRIC & MANUFACTURING COMPANY,trademark_owner
160,9,Westinghouse Electric & Manufacturing Company,trademark_owner
161,9,"WESTINGHOUSE ELECTRIC & MANUFACTURING COMPANY, THE",trademark_owner
162,9,WESTINGHOUSE ELECTRIC & MANUFACTURING CO.,trademark_owner
163,9,WESTINGHOUSE ELECTRIC & MANUFACTURINGCO.,trademark_owner
164,9,WESTINGHOUSE ELECTRIC & MANUFACTURING COMPNY,trademark_owner
165,9,WESTINGHOUSE ELECTRIC & MANUFACTURINGCO,trademark_owner
167,9,Westinghouse Electric Corporation,trademark_owner
168,9,THE ELECTRIC CONTROLLER & MFG. CO.,trademark_owner
169,9004,WESTINGHOUSE ELECTRIC CORPORATION,trademark_owner
170,9004,Westinghouse Electric Corporation,trademark_owner
